accuracy,loss,val_accuracy,val_loss
0.42029741406440735,1.0880968570709229,0.47132429480552673,1.0749787092208862
0.6428384780883789,0.9925892949104309,0.7122002243995667,0.9944686889648438
0.7388468384742737,0.9207759499549866,0.7330552935600281,0.9336156845092773
0.7477172017097473,0.8659504055976868,0.738269031047821,0.8859999775886536
0.7531959414482117,0.822162926197052,0.743482768535614,0.8466744422912598
0.7618053555488586,0.7852814793586731,0.743482768535614,0.8125123381614685
0.7662405371665955,0.7529149651527405,0.7486965656280518,0.7818899750709534
0.771197497844696,0.7238826751708984,0.7486965656280518,0.7541171312332153
0.7738063931465149,0.6976588368415833,0.7497392892837524,0.7289491891860962
0.7764153480529785,0.6739976406097412,0.7549530863761902,0.7062939405441284
0.779806911945343,0.6527432799339294,0.7549530863761902,0.6860737204551697
0.7847638726234436,0.6337467432022095,0.7559958100318909,0.6681711673736572
0.7873728275299072,0.6168367266654968,0.7591241002082825,0.6524204015731812
0.7938951253890991,0.6018231511116028,0.767466127872467,0.6386191248893738
0.7996347546577454,0.5885054469108582,0.767466127872467,0.6265482902526855
0.800417423248291,0.5766862034797668,0.7695516347885132,0.6159895658493042
0.8014609813690186,0.5661798715591431,0.7705943584442139,0.6067385673522949
0.8030263781547546,0.5568185448646545,0.7768508791923523,0.5986117720603943
0.8032872676849365,0.548453152179718,0.7768508791923523,0.5914484262466431
0.8043308258056641,0.5409538149833679,0.7758081555366516,0.585110604763031
